freq,unit,deg_urb,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AVG,DEG1,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	0.8 	0.8 	0.8 	0.8 	: 	: 
A,AVG,DEG1,AT	1.6 	1.4 	1.4 	1.4 	1.5 	1.4 b	1.5 	1.5 	1.5 	1.4 b	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 
A,AVG,DEG1,BE	1.7 	2.1 	2.2 	2.1 	2.1 	2.1 	2.2 	2.1 	2.2 	2.2 b	2.2 	2.1 	2.1 	2.0 b	2.0 	1.9 	1.8 b	1.9 	1.9 	1.9 	1.9 
A,AVG,DEG1,BG	: 	: 	0.9 	0.9 	0.9 	0.9 	1.0 	0.9 	0.9 	1.0 b	1.0 	1.0 	1.1 	1.1 b	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 
A,AVG,DEG1,CH	: 	: 	: 	: 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 b	1.7 	1.8 b	1.8 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 
A,AVG,DEG1,CY	: 	: 	1.9 	1.9 	2.0 	2.1 	2.1 	2.1 	2.1 	2.1 b	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 
A,AVG,DEG1,CZ	: 	: 	1.1 	1.1 	1.1 	1.2 	1.2 	1.3 	1.3 	1.3 b	1.3 	1.3 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 
A,AVG,DEG1,DE	: 	: 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 b	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.6 b	1.6 	1.6 	1.6 
A,AVG,DEG1,DK	1.8 	1.8 	1.7 	1.7 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 b	1.8 	1.8 	1.8 	1.7 	1.7 	1.7 	1.6 	1.7 	1.7 	1.7 	1.7 
A,AVG,DEG1,EA	: 	: 	: 	: 	: 	: 	: 	: 	1.7 e	1.7 e	1.7 e	1.7 e	1.7 e	1.6 e	1.7 e	1.6 e	1.6 	1.6 	1.6 	: 	: 
